Item,Year,AUD/KG
Apples,1991,0.745225968
Apples,1992,0.947162072
Apples,1993,0.827574724
Apples,1994,0.856638991
Apples,1995,0.956093279
Apples,1996,1.291240607
Apples,1997,1.202079913
Apples,1998,0.836808684
Apples,1999,0.93762536
Apples,2000,0.751281024
Apples,2001,0.681193755
Apples,2002,0.896450982
Apples,2003,1.148644047
Apples,2004,1.60307597
Apples,2005,1.872677321
Apples,2006,1.481823482
Apples,2007,2.267315569
Apples,2008,2.336343203
Apples,2009,2.172251197
Apples,2010,2.110489629
Apples,2011,3.107151781
Apples,2012,2.523444421
Apples,2013,2.233104505
Apples,2014,2.218723748
Apples,2015,2.141370413
Apples,2016,1.972737114
Apples,2017,1.892204875
Apples,2018,2.068558369
Apples,2019,2.035104187
Apples,2020,2.149544738
Apricots,1991,1.101263237
Apricots,1992,1.17286427
Apricots,1993,1.068414561
Apricots,1994,1.414309612
Apricots,1995,1.084006329
Apricots,1996,1.683305457
Apricots,1997,1.696475203
Apricots,1998,1.483488622
Apricots,1999,1.269745159
Apricots,2000,1.405075652
Apricots,2001,1.11957978
Apricots,2002,1.200717525
Apricots,2003,1.227208394
Apricots,2004,2.515875602
Apricots,2005,1.699351354
Apricots,2006,1.607163133
Apricots,2007,3.495886351
Apricots,2009,2.750811759
Apricots,2011,2.420205723
Apricots,2016,3.096858187
Apricots,2017,1.51754831
Apricots,2018,1.832259825
Apricots,2019,2.281393574
Asparagus,1991,3.978322906
Asparagus,1992,5.474224392
Asparagus,1993,5.112737572
Asparagus,1994,6.356900122
Asparagus,1995,6.570189455
Asparagus,1996,6.034165658
Asparagus,1997,5.349944375
Asparagus,1998,4.879466555
Asparagus,1999,5.81815155
Asparagus,2000,5.127269706
Asparagus,2001,3.63136822
Asparagus,2002,3.882653027
Asparagus,2003,4.691759832
Asparagus,2004,4.993907106
Asparagus,2005,4.958030902
Asparagus,2006,5.45666473
Asparagus,2007,5.907614996
Asparagus,2008,5.886422302
Asparagus,2009,7.604241575
Asparagus,2011,10.44103512
Avocados,1997,2.359352415
Avocados,1998,2.158778698
Avocados,1999,2.080365728
Avocados,2000,2.018604161
Avocados,2001,1.518910697
Avocados,2002,1.990296776
Avocados,2003,2.228563214
Avocados,2004,2.749600748
Avocados,2005,3.202064778
Avocados,2006,2.701463056
Avocados,2007,3.305908981
Avocados,2009,3.364643021
Avocados,2011,4.527970578
Avocados,2012,4.043868882
Avocados,2013,6.07518866
Avocados,2014,6.690079556
Avocados,2015,5.09018249
Avocados,2016,5.498293238
Avocados,2017,6.144216294
Avocados,2018,7.209149197
Avocados,2019,4.600782621
Avocados,2020,4.414892414
Bananas,1991,1.680277929
Bananas,1992,1.696475203
Bananas,1993,1.442162868
Bananas,1994,1.025877795
Bananas,1995,1.373437986
Bananas,1996,1.210556991
Bananas,1997,1.219034069
Bananas,1998,0.982432771
Bananas,1999,1.155455985
Bananas,2000,0.969868531
Bananas,2001,0.892515195
Bananas,2002,1.090515514
Bananas,2003,1.192845953
Bananas,2004,1.235685472
Bananas,2005,1.423089442
Bananas,2006,2.619417053
Bananas,2007,5.109558668
Bananas,2008,2.379485474
Bananas,2009,1.8676819
Bananas,2010,2.242489841
Bananas,2011,2.434132351
Bananas,2012,2.562650906
Bananas,2013,2.170283303
Bananas,2014,1.829837802
Bananas,2015,2.052663848
Bananas,2016,1.299717685
Bananas,2017,1.512855642
Bananas,2018,1.474860168
Bananas,2019,1.665745796
Bananas,2020,1.810158872
"Beans, dry",1993,0.465331023
"Beans, dry",1994,0.600964268
"Beans, dry",1995,0.285041742
"Beans, dry",1996,0.665753363
"Beans, dry",1997,0.633661569
"Beans, dry",1998,0.527849472
"Beans, dry",1999,0.414165803
"Beans, dry",2000,0.428243807
"Beans, dry",2001,0.410986899
"Beans, dry",2002,0.492578773
"Beans, dry",2003,0.528152225
"Beans, dry",2004,0.510895316
"Beans, dry",2005,0.56523944
"Beans, dry",2006,0.266725199
"Beans, dry",2007,0.537083432
"Beans, dry",2009,0.480468662
"Beans, dry",2011,0.623065221
Cabbages,1991,0.448074114
Cabbages,1992,0.29018854
Cabbages,1993,0.298514241
Cabbages,1994,0.334239069
Cabbages,1995,0.430968582
Cabbages,1996,0.415830943
Cabbages,1997,0.449436502
Cabbages,1998,0.39372999
Cabbages,1999,0.3975144
Cabbages,2000,0.30986747
Cabbages,2001,0.374202436
Cabbages,2002,0.296849101
Cabbages,2006,0.90280879
Cabbages,2007,0.905684941
Cabbages,2008,1.027240183
Cabbages,2009,0.668175385
Cabbages,2014,1.028753946
Cabbages,2016,0.920519828
Cabbages,2017,1.009377769
Cabbages,2018,0.858455508
Cabbages,2019,0.84286374
Cabbages,2020,0.909469351
Carrots and turnips,1991,0.518766889
Carrots and turnips,1992,0.489097116
Carrots and turnips,1993,0.493032902
Carrots and turnips,1994,0.514679726
Carrots and turnips,1995,0.62397348
Carrots and turnips,1996,0.646831314
Carrots and turnips,1997,0.62018907
Carrots and turnips,1998,0.537234808
Carrots and turnips,1999,0.635780838
Carrots and turnips,2000,0.478349392
Carrots and turnips,2001,0.460335602
Carrots and turnips,2002,0.492578773
Carrots and turnips,2003,0.519372394
Carrots and turnips,2004,0.55101006
Carrots and turnips,2005,0.606867948
Carrots and turnips,2006,0.672565301
Carrots and turnips,2007,0.739776418
Carrots and turnips,2008,0.877377556
Carrots and turnips,2009,0.815767366
Carrots and turnips,2010,0.912194126
Carrots and turnips,2011,0.908712469
Carrots and turnips,2012,1.056455826
Carrots and turnips,2013,1.043437456
Carrots and turnips,2014,0.739625042
Carrots and turnips,2015,0.630028535
Carrots and turnips,2016,0.746134226
Carrots and turnips,2017,0.939744629
Carrots and turnips,2018,0.960180442
Carrots and turnips,2019,0.945042803
Carrots and turnips,2020,0.960331818
Cauliflowers and broccoli,1991,0.525881579
Cauliflowers and broccoli,1992,0.598088117
Cauliflowers and broccoli,1993,0.523913686
Cauliflowers and broccoli,1994,0.61095511
Cauliflowers and broccoli,1995,0.75521681
Cauliflowers and broccoli,1996,0.805473771
Cauliflowers and broccoli,1997,0.839230706
Cauliflowers and broccoli,1998,0.699964427
Cauliflowers and broccoli,1999,0.739322289
Cauliflowers and broccoli,2000,0.643349658
Cauliflowers and broccoli,2001,0.551161436
Cauliflowers and broccoli,2002,0.528000848
Cauliflowers and broccoli,2003,0.790336132
Cauliflowers and broccoli,2004,0.813799473
Cauliflowers and broccoli,2005,0.737505772
Cauliflowers and broccoli,2006,0.788822368
Cauliflowers and broccoli,2007,0.956244656
Cauliflowers and broccoli,2008,0.924304237
Cauliflowers and broccoli,2009,0.835900426
Cauliflowers and broccoli,2011,1.000900691
Cauliflowers and broccoli,2014,1.042529198
Cauliflowers and broccoli,2016,0.899175757
Cauliflowers and broccoli,2017,1.148492671
Cauliflowers and broccoli,2018,1.066598044
Cauliflowers and broccoli,2019,1.116552253
Cauliflowers and broccoli,2020,1.247341454
Cherries,1991,4.300300487
Cherries,1992,4.714920419
Cherries,1993,3.921859512
Cherries,1994,4.70356719
Cherries,1995,5.271834158
Cherries,1996,5.627871427
Cherries,1997,4.887035375
Cherries,1998,3.861006203
Cherries,1999,5.684334821
Cherries,2000,5.98375732
Cherries,2001,5.53553183
Cherries,2002,6.686295146
Cherries,2003,7.314053036
Cherries,2004,8.816766459
Cherries,2005,9.513703359
Cherries,2006,11.41029815
Cherries,2007,10.60179685
Cherries,2009,10.82613666
Cherries,2011,14.09934834
Cherries,2012,12.85246102
Cherries,2013,10.86731104
Cherries,2014,15.04893244
Cherries,2015,10.79904029
Cherries,2016,10.57106744
Cherries,2017,14.77917971
Cherries,2018,12.32915284
Cherries,2019,11.21562811
Cherries,2020,14.65217492
Cucumbers and gherkins,1991,0.87722618
Cucumbers and gherkins,1992,0.881616095
Cucumbers and gherkins,1993,0.85542798
Cucumbers and gherkins,1994,1.05585032
Cucumbers and gherkins,1995,1.234323084
Cucumbers and gherkins,1996,1.279281872
Cucumbers and gherkins,1997,1.157121125
Cucumbers and gherkins,1998,0.97955662
Cucumbers and gherkins,1999,1.07431824
Cucumbers and gherkins,2000,0.868900479
Cucumbers and gherkins,2001,1.09611644
Cucumbers and gherkins,2002,1.060997118
Cucumbers and gherkins,2006,2.929435899
Cucumbers and gherkins,2007,2.76125673
Cucumbers and gherkins,2008,3.060073724
Cucumbers and gherkins,2009,2.786233834
Cucumbers and gherkins,2014,2.880389949
Grapes,1991,0.415074061
Grapes,1992,0.450193384
Grapes,1993,0.407656618
Grapes,1994,0.483647566
Grapes,1995,0.696785523
Grapes,1996,0.760514983
Grapes,1997,0.803354502
Grapes,1998,0.835900426
Grapes,1999,0.883886741
Grapes,2000,0.713588302
Grapes,2001,0.735235126
Grapes,2002,0.698299287
Grapes,2003,0.846345396
Grapes,2004,0.914010643
Grapes,2005,0.819551775
Grapes,2006,0.830905005
Grapes,2007,0.9828869
Grapes,2008,1.123666943
Grapes,2009,0.796845317
Grapes,2010,0.915070278
Grapes,2011,0.922790473
Grapes,2012,0.984249288
Grapes,2013,0.963056593
Grapes,2014,0.878739944
Grapes,2015,0.729028694
Grapes,2016,0.84619402
Grapes,2017,0.937473983
Grapes,2018,0.950038224
Grapes,2019,0.987125439
Grapes,2020,1.066446668
Kiwi fruit,1997,1.966076553
Kiwi fruit,1998,1.531020808
Kiwi fruit,1999,1.884938808
Kiwi fruit,2000,1.983484838
Kiwi fruit,2001,1.409314191
Kiwi fruit,2002,1.891599369
Kiwi fruit,2003,2.120631848
Kiwi fruit,2004,2.126232774
Kiwi fruit,2005,2.254145823
Kiwi fruit,2006,2.279728433
Kiwi fruit,2007,3.24263365
Kiwi fruit,2009,2.691774967
Kiwi fruit,2011,3.575510332
Kiwi fruit,2016,3.008000246
Lemons and limes,1991,0.471688831
Lemons and limes,1992,0.6180698
Lemons and limes,1993,0.584615618
Lemons and limes,1994,0.68391853
Lemons and limes,1995,0.626092749
Lemons and limes,1996,1.042377822
Lemons and limes,1997,0.999841056
Lemons and limes,1998,0.751281024
Lemons and limes,1999,0.752037906
Lemons and limes,2000,0.625789996
Lemons and limes,2001,0.540262336
Lemons and limes,2002,0.715556196
Lemons and limes,2003,0.805019642
Lemons and limes,2004,1.213433142
Lemons and limes,2005,0.994088753
Lemons and limes,2006,1.119428404
Lemons and limes,2007,1.519970332
Lemons and limes,2009,2.076732694
Lemons and limes,2011,3.061890241
Lemons and limes,2016,2.690563956
Lettuce and chicory,1991,0.718129594
Lettuce and chicory,1992,0.717069959
Lettuce and chicory,1993,0.609441346
Lettuce and chicory,1994,0.704959848
Lettuce and chicory,1995,0.844983009
Lettuce and chicory,1996,0.848161913
Lettuce and chicory,1997,0.768386556
Lettuce and chicory,1998,0.68558367
Lettuce and chicory,1999,0.656368027
Lettuce and chicory,2000,0.602932161
Lettuce and chicory,2001,0.627909266
Lettuce and chicory,2002,0.690881844
Lettuce and chicory,2003,0.853157334
Lettuce and chicory,2004,1.007409875
Lettuce and chicory,2005,0.979102491
Lettuce and chicory,2006,1.113676101
Lettuce and chicory,2007,1.319850744
Lettuce and chicory,2008,1.264598362
Lettuce and chicory,2009,1.341194815
Lettuce and chicory,2011,1.764291825
Lettuce and chicory,2012,1.766411095
Lettuce and chicory,2013,1.72008992
Lettuce and chicory,2014,1.573254821
Lettuce and chicory,2015,1.369199448
Lettuce and chicory,2016,1.505589575
Lettuce and chicory,2017,1.858599316
Lettuce and chicory,2018,1.538135499
Lettuce and chicory,2019,1.581580523
Lettuce and chicory,2020,1.901590211
Oranges,1991,0.428092431
Oranges,1992,0.480317285
Oranges,1993,0.354069376
Oranges,1994,0.437175014
Oranges,1995,0.465633776
Oranges,1996,0.58749177
Oranges,1997,0.55055593
Oranges,1998,0.494546666
Oranges,1999,0.644560669
Oranges,2000,0.475624617
Oranges,2001,0.391459345
Oranges,2002,0.509835682
Oranges,2003,0.549799048
Oranges,2004,0.667872633
Oranges,2005,0.716767207
Oranges,2006,0.615496402
Oranges,2007,0.836051802
Oranges,2008,0.787157228
Oranges,2009,0.861785788
Oranges,2010,1.08309807
Oranges,2011,1.061753999
Oranges,2012,1.206923957
Oranges,2013,1.262630469
Oranges,2014,1.277162602
Oranges,2015,0.971230918
Oranges,2016,1.065689786
Oranges,2017,1.508162974
Oranges,2018,1.42278669
Oranges,2019,1.412190342
Oranges,2020,1.407497674
Peaches and nectarines,1991,1.184974381
Peaches and nectarines,1992,1.110648573
Peaches and nectarines,1993,1.058120966
Peaches and nectarines,1994,1.280492883
Peaches and nectarines,1995,1.702227506
Peaches and nectarines,1996,1.362236134
Peaches and nectarines,1997,1.211162496
Peaches and nectarines,1998,1.058423719
Peaches and nectarines,1999,1.298960803
Peaches and nectarines,2000,1.043588833
Peaches and nectarines,2001,1.039804423
Peaches and nectarines,2002,0.986974063
Peaches and nectarines,2003,1.188910167
Peaches and nectarines,2004,1.69995686
Peaches and nectarines,2005,1.686635737
Peaches and nectarines,2006,1.7452184
Peaches and nectarines,2007,2.196320043
Peaches and nectarines,2008,1.726750481
Peaches and nectarines,2009,2.040099608
Peaches and nectarines,2010,2.013305987
Peaches and nectarines,2011,3.077482009
Peaches and nectarines,2012,2.753839287
Peaches and nectarines,2013,2.462591113
Peaches and nectarines,2014,2.864041299
Peaches and nectarines,2015,2.080062975
Peaches and nectarines,2016,2.115636427
Peaches and nectarines,2017,2.422324993
Peaches and nectarines,2018,2.561742648
Peaches and nectarines,2019,2.483481054
Peaches and nectarines,2020,2.521022399
Pears,1991,0.628514771
Pears,1992,0.769294814
Pears,1993,0.627909266
Pears,1994,0.634115698
Pears,1995,0.543138487
Pears,1996,0.68936808
Pears,1997,0.71116628
Pears,1998,0.675138699
Pears,1999,0.703143332
Pears,2000,0.40462909
Pears,2001,0.414922685
Pears,2002,0.567510086
Pears,2003,0.579166068
Pears,2004,0.846042644
Pears,2005,0.693606619
Pears,2006,0.706776365
Pears,2007,1.013313555
Pears,2008,1.015735577
Pears,2009,1.168777107
Pears,2010,1.08309807
Pears,2011,2.217209984
Pears,2012,1.348006753
Pears,2013,1.537378617
Pears,2014,1.485910644
Pears,2015,1.353304927
Pears,2016,0.975620834
Pears,2017,1.446704159
Pears,2018,0.996359399
Pears,2019,1.022850267
Pears,2020,0.846496773
"Peas, green",1991,0.445652092
"Peas, green",1992,0.498028323
"Peas, green",1993,0.364362971
"Peas, green",1994,0.388431817
"Peas, green",1995,0.411895157
"Peas, green",1996,0.445349339
"Peas, green",1997,0.467298916
"Peas, green",1998,0.176807624
"Peas, green",1999,0.196335178
"Peas, green",2000,0.182559926
"Peas, green",2001,0.154252541
"Peas, green",2002,0.166968158
"Peas, green",2003,0.226761832
"Peas, green",2004,0.240385707
"Peas, green",2005,0.267027952
"Peas, green",2006,0.289583034
"Peas, green",2007,0.305326179
"Peas, green",2008,0.314862891
"Peas, green",2009,0.386009795
"Peas, green",2011,0.501207227
"Peas, green",2014,0.386161171
"Peas, green",2016,0.952006117
"Peas, green",2017,1.300474566
"Peas, green",2018,1.153639468
"Peas, green",2019,1.608979649
Pineapples,1991,0.349073955
Pineapples,1992,0.325761991
Pineapples,1993,0.302601404
Pineapples,1994,0.317587666
Pineapples,1995,0.351193225
Pineapples,1996,0.33756935
Pineapples,1997,0.359518926
Pineapples,1998,0.288220647
Pineapples,1999,0.293064691
Pineapples,2000,0.274748148
Pineapples,2001,0.28806927
Pineapples,2002,0.276261912
Pineapples,2003,0.30441792
Pineapples,2004,0.37405106
Pineapples,2005,0.372234543
Pineapples,2006,0.532390764
Pineapples,2007,0.702991955
Pineapples,2009,0.661060695
Pineapples,2011,0.94307491
Pineapples,2013,0.930964799
Pineapples,2014,0.871928006
Pineapples,2015,0.729028694
Pineapples,2016,0.792152649
Pineapples,2017,0.838776577
Pineapples,2018,0.829088488
Pineapples,2019,0.768235179
Pineapples,2020,0.920217075
Potatoes,1991,0.391459345
Potatoes,1992,0.328032637
Potatoes,1993,0.286101377
Potatoes,1994,0.315468397
Potatoes,1995,0.378138222
Potatoes,1996,0.375564824
Potatoes,1997,0.39206485
Potatoes,1998,0.342413394
Potatoes,1999,0.322280334
Potatoes,2000,0.279894945
Potatoes,2001,0.275656406
Potatoes,2002,0.299422499
Potatoes,2003,0.381922632
Potatoes,2004,0.408564877
Potatoes,2005,0.389642828
Potatoes,2006,0.422945634
Potatoes,2007,0.537083432
Potatoes,2008,0.624730362
Potatoes,2009,0.558427503
Potatoes,2010,0.666510245
Potatoes,2011,0.765056275
Potatoes,2012,0.761725994
Potatoes,2013,0.792152649
Potatoes,2014,0.721762628
Potatoes,2015,0.608381711
Potatoes,2016,0.517707254
Potatoes,2017,0.578863315
Potatoes,2018,0.576744046
Potatoes,2019,0.616707413
Potatoes,2020,0.630634041
Raspberries,1991,7.269245624
Raspberries,1992,7.525525852
Raspberries,1993,6.932735909
Raspberries,1994,7.773631756
Raspberries,1995,8.337508808
Raspberries,1996,9.654332025
Raspberries,1997,10.3809387
Raspberries,1998,10.28950736
Raspberries,1999,13.05833291
Raspberries,2000,16.93765565
Raspberries,2001,15.78431894
Raspberries,2002,18.51287837
Raspberries,2003,20.9996897
Raspberries,2004,21.57431448
Raspberries,2005,26.62241433
Raspberries,2006,26.66192357
Raspberries,2007,47.61302145
Raspberries,2009,36.87014181
Raspberries,2011,54.69531723
Spinach,2006,3.168913348
Spinach,2007,3.343904455
Spinach,2008,3.910809036
Spinach,2009,3.81332264
Spinach,2014,10.21442467
Strawberries,1991,6.323597316
Strawberries,1992,5.619848479
Strawberries,1993,4.731874575
Strawberries,1994,5.025544772
Strawberries,1995,5.994505044
Strawberries,1996,5.931078337
Strawberries,1997,5.594871374
Strawberries,1998,4.773957211
Strawberries,1999,5.928504938
Strawberries,2000,5.487848267
Strawberries,2001,4.791668249
Strawberries,2002,4.408231853
Strawberries,2003,5.61560994
Strawberries,2004,7.447415635
Strawberries,2005,5.953330666
Strawberries,2006,7.090015978
Strawberries,2007,8.904564765
Strawberries,2008,8.418192424
Strawberries,2009,7.662067356
Strawberries,2010,10.05290606
Strawberries,2011,11.30448605
Strawberries,2012,11.88062459
Strawberries,2013,10.55305365
Strawberries,2014,8.601811985
Strawberries,2015,6.79725404
Strawberries,2016,7.210965714
Strawberries,2017,7.371576064
