Fruit,Year,Price AUD/kg
Apples,1991,0.745225968
Apples,1992,0.947162072
Apples,1993,0.827574724
Apples,1994,0.856638991
Apples,1995,0.956093279
Apples,1996,1.291240607
Apples,1997,1.202079913
Apples,1998,0.836808684
Apples,1999,0.93762536
Apples,2000,0.751281024
Apples,2001,0.681193755
Apples,2002,0.896450982
Apples,2003,1.148644047
Apples,2004,1.60307597
Apples,2005,1.872677321
Apples,2006,1.481823482
Apples,2007,2.267315569
Apples,2008,2.336343203
Apples,2009,2.172251197
Apples,2010,2.110489629
Apples,2011,3.107151781
Apples,2012,2.523444421
Apples,2013,2.233104505
Apples,2014,2.218723748
Apples,2015,2.141370413
Apples,2016,1.972737114
Apples,2017,1.892204875
Apples,2018,2.068558369
Apples,2019,2.035104187
Apples,2020,2.149544738
Bananas,1991,1.680277929
Bananas,1992,1.696475203
Bananas,1993,1.442162868
Bananas,1994,1.025877795
Bananas,1995,1.373437986
Bananas,1996,1.210556991
Bananas,1997,1.219034069
Bananas,1998,0.982432771
Bananas,1999,1.155455985
Bananas,2000,0.969868531
Bananas,2001,0.892515195
Bananas,2002,1.090515514
Bananas,2003,1.192845953
Bananas,2004,1.235685472
Bananas,2005,1.423089442
Bananas,2006,2.619417053
Bananas,2007,5.109558668
Bananas,2008,2.379485474
Bananas,2009,1.8676819
Bananas,2010,2.242489841
Bananas,2011,2.434132351
Bananas,2012,2.562650906
Bananas,2013,2.170283303
Bananas,2014,1.829837802
Bananas,2015,2.052663848
Bananas,2016,1.299717685
Bananas,2017,1.512855642
Bananas,2018,1.474860168
Bananas,2019,1.665745796
Bananas,2020,1.810158872
Grapes,1991,0.415074061
Grapes,1992,0.450193384
Grapes,1993,0.407656618
Grapes,1994,0.483647566
Grapes,1995,0.696785523
Grapes,1996,0.760514983
Grapes,1997,0.803354502
Grapes,1998,0.835900426
Grapes,1999,0.883886741
Grapes,2000,0.713588302
Grapes,2001,0.735235126
Grapes,2002,0.698299287
Grapes,2003,0.846345396
Grapes,2004,0.914010643
Grapes,2005,0.819551775
Grapes,2006,0.830905005
Grapes,2007,0.9828869
Grapes,2008,1.123666943
Grapes,2009,0.796845317
Grapes,2010,0.915070278
Grapes,2011,0.922790473
Grapes,2012,0.984249288
Grapes,2013,0.963056593
Grapes,2014,0.878739944
Grapes,2015,0.729028694
Grapes,2016,0.84619402
Grapes,2017,0.937473983
Grapes,2018,0.950038224
Grapes,2019,0.987125439
Grapes,2020,1.066446668
Oranges,1991,0.428092431
Oranges,1992,0.480317285
Oranges,1993,0.354069376
Oranges,1994,0.437175014
Oranges,1995,0.465633776
Oranges,1996,0.58749177
Oranges,1997,0.55055593
Oranges,1998,0.494546666
Oranges,1999,0.644560669
Oranges,2000,0.475624617
Oranges,2001,0.391459345
Oranges,2002,0.509835682
Oranges,2003,0.549799048
Oranges,2004,0.667872633
Oranges,2005,0.716767207
Oranges,2006,0.615496402
Oranges,2007,0.836051802
Oranges,2008,0.787157228
Oranges,2009,0.861785788
Oranges,2010,1.08309807
Oranges,2011,1.061753999
Oranges,2012,1.206923957
Oranges,2013,1.262630469
Oranges,2014,1.277162602
Oranges,2015,0.971230918
Oranges,2016,1.065689786
Oranges,2017,1.508162974
Oranges,2018,1.42278669
Oranges,2019,1.412190342
Oranges,2020,1.407497674
Peaches ,1991,1.184974381
Peaches ,1992,1.110648573
Peaches ,1993,1.058120966
Peaches ,1994,1.280492883
Peaches ,1995,1.702227506
Peaches ,1996,1.362236134
Peaches ,1997,1.211162496
Peaches ,1998,1.058423719
Peaches ,1999,1.298960803
Peaches ,2000,1.043588833
Peaches ,2001,1.039804423
Peaches ,2002,0.986974063
Peaches ,2003,1.188910167
Peaches ,2004,1.69995686
Peaches ,2005,1.686635737
Peaches ,2006,1.7452184
Peaches ,2007,2.196320043
Peaches ,2008,1.726750481
Peaches ,2009,2.040099608
Peaches ,2010,2.013305987
Peaches ,2011,3.077482009
Peaches ,2012,2.753839287
Peaches ,2013,2.462591113
Peaches ,2014,2.864041299
Peaches ,2015,2.080062975
Peaches ,2016,2.115636427
Peaches ,2017,2.422324993
Peaches ,2018,2.561742648
Peaches ,2019,2.483481054
Peaches ,2020,2.521022399
Pears,1991,0.628514771
Pears,1992,0.769294814
Pears,1993,0.627909266
Pears,1994,0.634115698
Pears,1995,0.543138487
Pears,1996,0.68936808
Pears,1997,0.71116628
Pears,1998,0.675138699
Pears,1999,0.703143332
Pears,2000,0.40462909
Pears,2001,0.414922685
Pears,2002,0.567510086
Pears,2003,0.579166068
Pears,2004,0.846042644
Pears,2005,0.693606619
Pears,2006,0.706776365
Pears,2007,1.013313555
Pears,2008,1.015735577
Pears,2009,1.168777107
Pears,2010,1.08309807
Pears,2011,2.217209984
Pears,2012,1.348006753
Pears,2013,1.537378617
Pears,2014,1.485910644
Pears,2015,1.353304927
Pears,2016,0.975620834
Pears,2017,1.446704159
Pears,2018,0.996359399
Pears,2019,1.022850267
Pears,2020,0.846496773
Tomatoes,1991,0.595514718
Tomatoes,1992,0.565844946
Tomatoes,1993,0.53420728
Tomatoes,1994,0.585523877
Tomatoes,1995,0.548739414
Tomatoes,1996,0.562666042
Tomatoes,1997,0.505597143
Tomatoes,1998,0.417496084
Tomatoes,1999,0.474716359
Tomatoes,2000,0.402812574
Tomatoes,2001,0.361789572
Tomatoes,2002,0.444138328
Tomatoes,2003,0.607776206
Tomatoes,2004,0.657881791
Tomatoes,2005,0.460032849
Tomatoes,2006,0.690730468
Tomatoes,2007,1.266717632
Tomatoes,2008,1.345887483
Tomatoes,2009,0.917340923
Tomatoes,2010,1.019217234
Tomatoes,2011,2.164076871
Tomatoes,2012,1.484245504
Tomatoes,2013,1.407346298
Tomatoes,2014,1.466837219
Tomatoes,2015,0.909772104
Tomatoes,2016,0.84619402
Tomatoes,2017,1.476828061
Tomatoes,2018,1.627598945
Tomatoes,2019,1.529052915
Tomatoes,2020,1.680429305
Kiwi fruit,1991,1.966076553
Kiwi fruit,1992,1.966076553
Kiwi fruit,1993,1.966076553
Kiwi fruit,1994,1.966076553
Kiwi fruit,1995,1.966076553
Kiwi fruit,1996,1.966076553
Kiwi fruit,1997,1.966076553
Kiwi fruit,1998,1.531020808
Kiwi fruit,1999,1.884938808
Kiwi fruit,2000,1.983484838
Kiwi fruit,2001,1.409314191
Kiwi fruit,2002,1.891599369
Kiwi fruit,2003,2.120631848
Kiwi fruit,2004,2.126232774
Kiwi fruit,2005,2.254145823
Kiwi fruit,2006,2.279728433
Kiwi fruit,2007,3.24263365
Kiwi fruit,2008,3.24263365
Kiwi fruit,2009,2.691774967
Kiwi fruit,2010,2.691774967
Kiwi fruit,2011,3.575510332
Kiwi fruit,2012,3.575510332
Kiwi fruit,2013,3.575510332
Kiwi fruit,2014,3.575510332
Kiwi fruit,2015,3.575510332
Kiwi fruit,2016,3.008000246
Kiwi fruit,2017,3.008000246
Kiwi fruit,2018,3.008000246
Kiwi fruit,2019,3.008000246
Kiwi fruit,2020,3.008000246
Apricots,1991,1.101263237
Apricots,1992,1.17286427
Apricots,1993,1.068414561
Apricots,1994,1.414309612
Apricots,1995,1.084006329
Apricots,1996,1.683305457
Apricots,1997,1.696475203
Apricots,1998,1.483488622
Apricots,1999,1.269745159
Apricots,2000,1.405075652
Apricots,2001,1.11957978
Apricots,2002,1.200717525
Apricots,2003,1.227208394
Apricots,2004,2.515875602
Apricots,2005,1.699351354
Apricots,2006,1.607163133
Apricots,2007,3.495886351
Apricots,2008,2.750811759
Apricots,2009,2.750811759
Apricots,2010,2.420205723
Apricots,2011,2.420205723
Apricots,2012,2.420205723
Apricots,2013,2.420205723
Apricots,2014,2.420205723
Apricots,2015,2.420205723
Apricots,2016,3.096858187
Apricots,2017,1.51754831
Apricots,2018,1.832259825
Apricots,2019,2.281393574
Apricots,2020,2.281393574
Lemons,1991,0.471688831
Lemons,1992,0.6180698
Lemons,1993,0.584615618
Lemons,1994,0.68391853
Lemons,1995,0.626092749
Lemons,1996,1.042377822
Lemons,1997,0.999841056
Lemons,1998,0.751281024
Lemons,1999,0.752037906
Lemons,2000,0.625789996
Lemons,2001,0.540262336
Lemons,2002,0.715556196
Lemons,2003,0.805019642
Lemons,2004,1.213433142
Lemons,2005,0.994088753
Lemons,2006,1.119428404
Lemons,2007,1.519970332
Lemons,2008,1.519970332
Lemons,2009,2.076732694
Lemons,2010,2.076732694
Lemons,2011,3.061890241
Lemons,2012,3.061890241
Lemons,2013,3.061890241
Lemons,2014,3.061890241
Lemons,2015,3.061890241
Lemons,2016,3.061890241
Lemons,2017,3.061890241
Lemons,2018,3.061890241
Lemons,2019,3.061890241
Lemons,2020,3.061890241
Pineapples,1991,0.349073955
Pineapples,1992,0.325761991
Pineapples,1993,0.302601404
Pineapples,1994,0.317587666
Pineapples,1995,0.351193225
Pineapples,1996,0.33756935
Pineapples,1997,0.359518926
Pineapples,1998,0.288220647
Pineapples,1999,0.293064691
Pineapples,2000,0.274748148
Pineapples,2001,0.28806927
Pineapples,2002,0.276261912
Pineapples,2003,0.30441792
Pineapples,2004,0.37405106
Pineapples,2005,0.372234543
Pineapples,2006,0.532390764
Pineapples,2007,0.702991955
Pineapples,2008,0.702991955
Pineapples,2009,0.661060695
Pineapples,2010,0.661060695
Pineapples,2011,0.94307491
Pineapples,2012,0.94307491
Pineapples,2013,0.930964799
Pineapples,2014,0.871928006
Pineapples,2015,0.729028694
Pineapples,2016,0.792152649
Pineapples,2017,0.838776577
Pineapples,2018,0.829088488
Pineapples,2019,0.768235179
Pineapples,2020,0.920217075
Watermelons,1991,0.468055798
Watermelons,1992,0.356945528
Watermelons,1993,0.360275808
Watermelons,1994,0.419463977
Watermelons,1995,0.363606089
Watermelons,1996,0.303206909
Watermelons,1997,0.387523558
Watermelons,1998,0.350890472
Watermelons,1999,0.481528297
Watermelons,2000,0.355431764
Watermelons,2001,0.375110694
Watermelons,2002,0.408716253
Watermelons,2003,0.507565036
Watermelons,2004,0.637900107
Watermelons,2005,0.746739732
Watermelons,2006,0.608684464
Watermelons,2007,0.92460699
Watermelons,2008,0.772019589
Watermelons,2009,0.847707784
Watermelons,2010,0.847707784
Watermelons,2011,0.847707784
Watermelons,2012,0.847707784
Watermelons,2013,0.847707784
Watermelons,2014,0.847707784
Watermelons,2015,0.847707784
Watermelons,2016,0.847707784
Watermelons,2017,0.847707784
Watermelons,2018,0.847707784
Watermelons,2019,0.847707784
Watermelons,2020,0.847707784
